Date,GLD,TLT,SPY,JPM,XOM,AAPL,JNJ,KO
2018-02-07,124.79000091552734,93.30924987792969,234.98861694335938,89.87935638427734,52.64956283569336,37.29368209838867,103.9531021118164,34.27052688598633
2018-02-08,124.9800033569336,93.2071533203125,226.17445373535156,85.90576171875,52.05422592163086,36.267478942871094,99.95064544677734,33.14765167236328
2018-02-09,124.7699966430664,92.61820220947266,229.57196044921875,87.62580871582031,52.386024475097656,36.71109390258789,102.4581069946289,33.17072296142578
2018-02-12,125.37000274658203,93.02654266357422,232.9430389404297,88.97953033447266,52.828460693359375,38.18977355957031,103.0434799194336,33.8167610168457
2018-02-13,126.08000183105469,93.44281005859375,233.52249145507812,89.52897644042969,52.745513916015625,38.57234191894531,102.79826354980469,33.9859619140625
2018-02-14,128.22999572753906,92.40618133544922,236.6741485595703,91.5993881225586,52.85611343383789,39.28352355957031,102.56884765625,33.91673278808594
2018-02-15,128.3800048828125,92.72029113769531,239.6941680908203,91.98159790039062,52.68328857421875,40.60258102416992,103.80280303955078,34.43971252441406
2018-02-16,127.95999908447266,93.222900390625,239.76434326171875,91.3206558227539,52.91142654418945,40.47114944458008,105.321533203125,34.593536376953125
2018-02-20,126.23999786376953,92.81456756591797,238.26319885253906,91.34456634521484,52.36530685424805,40.335025787353516,103.51802825927734,33.83214569091797
2018-02-21,125.66000366210938,91.67582702636719,237.0780029296875,91.72679901123047,51.77077865600586,40.151939392089844,102.75871276855469,33.33222961425781
2018-02-22,126.30000305175781,91.95069885253906,237.38522338867188,91.55956268310547,52.44133758544922,40.487579345703125,102.75871276855469,33.470664978027344
2018-02-23,126.13999938964844,92.76744079589844,241.16908264160156,93.41496276855469,53.59579086303711,41.19172286987305,104.4277114868164,33.8705940246582
2018-02-26,126.44999694824219,92.79883575439453,243.96951293945312,94.57756042480469,54.50138854980469,42.00616455078125,105.1362075805664,33.86289596557617
2018-02-27,125.12999725341797,92.66533660888672,240.9232940673828,93.45476531982422,53.5750732421875,41.87002944946289,104.8177719116211,33.547584533691406
2018-02-28,125.0,93.25431060791016,238.48263549804688,91.97361755371094,52.35839080810547,41.806663513183594,103.392822265625,33.23994827270508
2018-03-01,124.72000122070312,93.89091491699219,235.0149688720703,90.32528686523438,51.98509216308594,41.07435989379883,101.32306671142578,33.401451110839844
2018-03-02,125.38999938964844,93.12759399414062,236.22640991210938,90.23768615722656,52.22704315185547,41.35836410522461,102.54901123046875,33.62448501586914
2018-03-05,125.18000030517578,92.87579345703125,238.95675659179688,91.62326049804688,52.72479248046875,41.50152587890625,103.3211898803711,33.75522994995117
2018-03-06,126.52999877929688,92.96234893798828,239.56251525878906,91.70289611816406,52.66255187988281,41.46632385253906,102.07136535644531,33.785987854003906
2018-03-07,125.72000122070312,92.86007690429688,239.4747314453125,91.36048889160156,51.33528137207031,41.081398010253906,102.72411346435547,33.70139694213867
2018-03-08,125.41999816894531,93.39514923095703,240.633544921875,91.36844635009766,51.23849868774414,41.52969741821289,105.12825775146484,34.1859130859375
2018-03-09,125.54000091552734,92.7813949584961,244.82113647460938,93.99627685546875,51.542659759521484,42.24321746826172,106.51339721679688,34.47047424316406
2018-03-12,125.54000091552734,93.31649780273438,244.51390075683594,93.69365692138672,52.01274490356445,42.651615142822266,105.58199310302734,34.2474479675293
2018-03-13,125.77999877929688,93.7885971069336,242.93362426757812,92.57085418701172,51.52192306518555,42.24087142944336,106.95122528076172,34.278202056884766
2018-03-14,125.69999694824219,94.61481475830078,241.6869659423828,91.53567504882812,50.87902069091797,41.881771087646484,105.33524322509766,33.967857360839844
2018-03-15,124.9000015258789,94.61481475830078,241.42361450195312,91.7666015625,51.44588088989258,41.93105697631836,105.92433166503906,33.88251876831055
2018-03-16,124.5999984741211,94.2764663696289,241.6854248046875,91.92584991455078,51.92979431152344,41.78317642211914,106.4178466796875,33.71958541870117
2018-03-19,124.87000274658203,93.97744750976562,238.41529846191406,91.20121765136719,51.25923538208008,41.14478302001953,103.67939758300781,33.56440734863281
2018-03-20,124.30999755859375,93.59973907470703,238.82080078125,91.28880310058594,51.14862060546875,41.13068389892578,104.4515609741211,33.48680877685547
2018-03-21,126.4800033569336,93.70204162597656,238.362548828125,91.36844635009766,51.87448501586914,40.19889450073242,104.43565368652344,33.36267852783203
2018-03-22,125.9800033569336,94.63054656982422,232.40406799316406,87.55413055419922,50.80990219116211,39.63089370727539,101.40265655517578,33.176475524902344
2018-03-23,127.61000061035156,94.55972290039062,227.45045471191406,85.2129898071289,50.388206481933594,38.713157653808594,99.58766174316406,32.842838287353516
2018-03-26,128.27999877929688,94.19778442382812,233.67333984375,87.84080505371094,51.15554428100586,40.55094528198242,101.41060638427734,33.122154235839844
2018-03-27,127.48999786376953,95.20500183105469,229.6981201171875,86.1366958618164,50.948143005371094,39.51118469238281,101.26734161376953,33.27732467651367
2018-03-28,125.7300033569336,95.456787109375,229.01939392089844,86.0013427734375,50.33290481567383,39.07462692260742,101.45838165283203,33.6109619140625
2018-03-29,125.79000091552734,95.92102813720703,231.94577026367188,87.5700454711914,51.57722854614258,39.3797492980957,102.01563262939453,33.696311950683594
2018-04-02,127.26000213623047,96.1103286743164,226.93930053710938,85.88188934326172,50.61632537841797,39.121559143066406,99.15776824951172,33.10663604736328
2018-04-03,126.30000305175781,95.36907196044922,229.8479461669922,87.06041717529297,51.860652923583984,39.52292251586914,102.17485809326172,33.65751647949219
2018-04-04,126.44999694824219,95.1718978881836,232.30711364746094,88.38228607177734,51.75696563720703,40.2786750793457,103.81475067138672,34.32476806640625
2018-04-05,125.80000305175781,94.46222686767578,234.1405029296875,89.54277038574219,52.55195999145508,40.557987213134766,104.0535659790039,34.448909759521484
2018-04-06,126.38999938964844,95.49523162841797,228.9224853515625,87.30980682373047,51.75696563720703,39.52056884765625,101.97583770751953,34.076473236083984
